C0,C1,C2,C3,C4,C5,flux
-59.138229,2.1161109,-3.6590294,-0.0085923824,-0.20763085,0.028916235,113.1
-187.93325,4.4122788,-9.1549478,-0.019102812,-0.098898437,0.071370933,116.0
-188.68886,4.3083081,-3.8870796,-0.01744876,-0.27849931,0.0082431803,113.2
887.77146,-13.620582,4.5066959,0.05342328,0.034246673,-0.027206688,113.7
-315.72218,6.3298991,-7.7289812,-0.026557212,-0.10173949,0.047479488,108.3
-278.62676,5.9880243,-11.793624,-0.025856493,-0.26467006,0.081944019,111.8
-223.50247,5.1352462,-9.1424823,-0.02219827,-0.33686772,0.062097556,112.7
-6.8502181,1.3004636,-2.1894972,-0.0056163212,-0.13164947,-0.01538353,121.5
-247.19164,5.4211172,3.9047215,-0.022705946,-0.43283987,-0.072360509,127.2
-158.82965,4.3523802,-8.5458709,-0.020205831,-0.13718194,0.052450786,132.2
-133.29491,3.6939486,1.8141788,-0.015889841,-0.33450877,-0.037665868,137.0
-116.43515,3.4916608,2.251907,-0.015081417,-0.34660694,-0.030915358,135.5
-246.96159,5.8935337,14.302449,-0.026377247,-0.35998812,-0.1543625,137.2
-278.16786,6.5110873,-3.4657762,-0.029168282,-0.30409841,0.0081417813,145.1
-60.86478,2.7525536,-5.8930855,-0.012588471,-0.27306287,0.030599379,144.0
-286.84955,6.9341687,-3.0923657,-0.031681694,-0.45013586,0.0037181078,133.3
-748.52967,13.88889,-26.490278,-0.057679577,-0.49052536,0.18745253,127.8
-134.89012,2.9953416,10.665726,-0.012455916,-0.1648731,-0.10497271,95.1
222.22357,-2.9717813,2.8263839,0.012658943,-0.23883535,-0.02876865,96.5
-100.56164,2.6360843,1.7743964,-0.011153013,-0.15939424,-0.020995369,97.1
-161.40561,3.679732,9.2113381,-0.015432737,-0.19362008,-0.089721697,98.9
-244.63159,4.9059809,4.9151786,-0.020012,-0.12005777,-0.044958003,94.7
-189.17189,4.5568628,-2.900647,-0.021120945,-0.22592359,0.010266906,94.1
-195.5305,4.5109487,0.64546854,-0.019800884,-0.18782193,-0.0056747032,92.8
-266.27204,5.9678474,1.4198341,-0.027169071,-0.28581422,-0.021184777,94.2
-136.97607,3.7579081,-2.7271423,-0.018037695,-0.1935665,0.017333111,96.0
-62.653588,2.4195486,-5.180474,-0.01224353,-0.16458325,0.043127212,93.7
-247.22473,5.0715872,-6.5557927,-0.021400661,0.00062983298,0.046339884,93.0
-216.03121,5.1752645,3.2577711,-0.023683223,-0.44474416,-0.058545985,93.9
-25.625813,1.7233161,2.2763653,-0.0086291598,-0.3643767,-0.036245308,91.5
-79.819037,2.5241507,1.0699376,-0.012041362,-0.21625554,-0.038231427,92.4
1.6370069,1.3007397,-2.8073662,-0.0070129774,-0.29441557,-0.0064490846,93.1
-77.719888,2.5579371,-4.6669725,-0.011916038,-0.235104,0.034738754,90.1
151.88709,-1.4718808,-6.6854821,0.0054028171,-0.16509509,0.057247249,90.7
33.979186,0.72785764,3.8004897,-0.0045709401,-0.40715948,-0.049029169,89.5
96.961561,-0.46666913,-4.2964378,0.00045338902,-0.13420561,0.042133028,88.6
-136.18364,3.7537849,-6.7549237,-0.018222132,-0.26568113,0.052925441,86.9
-185.51744,4.7252744,-4.9033575,-0.022754278,-0.2915923,0.025852786,88.2
-262.11448,5.8678789,-5.8767375,-0.02708145,-0.2065687,0.031693756,86.7
-251.6837,5.4926958,-1.9001592,-0.024765792,-0.15791899,-0.0076724384,86.2
-126.12422,3.6365004,-5.8106227,-0.01774707,-0.34440332,0.025799858,86.0
-133.32762,3.1174812,-0.57996123,-0.013430163,-0.11941884,-0.021708164,85.1
-153.12147,3.5464715,-6.0670772,-0.015555161,-0.40251984,0.020377447,85.1
-290.72696,5.732287,-7.0552044,-0.024248598,-0.33200311,0.024340176,87.9
-498.35618,9.1361607,-15.177913,-0.037559918,-0.39522437,0.097384442,87.4
-106.60845,2.7235641,-14.344606,-0.011294451,-0.33803632,0.097767098,87.5
194.3718,-2.1717569,-0.48434393,0.007703571,-0.15025943,0.0046338999,83.6
-6.7782041,1.3256353,0.59297613,-0.006828406,-0.36099279,-0.022919843,81.6
10.900811,0.53162113,0.24712341,-0.002435721,-0.14034351,-0.0059668132,79.3
